Package Name,Size,Percentage of Total Size
brasero-libs,1322040,0.017513
dbus-daemon,1316308,0.017437
lksctp-tools,1310127,0.017355
nftables,1305067,0.017288
brlapi,1298392,0.017199
gamemode,1296086,0.017169
libwebp,1295293,0.017158
libcmis,1283945,0.017008
libsoup3,1274804,0.016887
kernel-modules-extra,1274304,0.016880
kernel-modules-extra,1272872,0.016861
libnma,1272628,0.016858
psacct,1267219,0.016786
libheif,1263791,0.016741
nvidia-gpu-firmware,1262393,0.016723
libgsf,1261662,0.016713
libqmi-utils,1261657,0.016713
gnome-bluetooth-libs,1256790,0.016648
libvncserver,1247970,0.016531
zxing-cpp,1246311,0.016509
nss-mdns,1245135,0.016494
httpd-tools,1242639,0.016461
openssh-server,1241872,0.016451
python3-systemd,1240914,0.016438
exfatprogs,1232654,0.016329
zeromq,1224528,0.016221
gnome-connections,1223172,0.016203
systemd-pam,1217933,0.016134
urw-base35-gothic-fonts,1216723,0.016118
libmbim,1212276,0.016059
cpio,1211102,0.016043
libX11-common,1208298,0.016006
liberation-mono-fonts,1205335,0.015967
libudisks2,1196768,0.015853
usermode,1196081,0.015844
libbrotli,1194674,0.015825
rasqal,1190949,0.015776
elfutils-libelf,1183265,0.015674
zip,1176103,0.015579
libgcrypt,1175802,0.015575
wavpack,1173022,0.015539
libgpg-error,1168182,0.015475
python3-dnf-plugins-core,1164013,0.015419
redland,1163424,0.015412
NetworkManager-vpnc,1162652,0.015401
libva,1159923,0.015365
orc,1157798,0.015337
qemu-pr-helper,1153703,0.015283
gnome-remote-desktop,1151279,0.015251
libpwquality,1149930,0.015233
gupnp-dlna,1149714,0.015230
catatonit,1145869,0.015179
ostree-libs,1145702,0.015177
qemu-guest-agent,1142659,0.015136
mdadm,1138807,0.015085
gdisk,1138565,0.015082
qt6-qtsvg,1138553,0.015082
python3-click,1132298,0.014999
hunspell-en,1128580,0.014950
grep,1120983,0.014849
authselect-libs,1113336,0.014748
NetworkManager-pptp,1112300,0.014734
gnome-logs,1103903,0.014623
urw-base35-nimbus-mono-ps-fonts,1100338,0.014576
mpg123-libs,1094780,0.014502
vapoursynth-libs,1085130,0.014374
libtpms,1084638,0.014368
gobject-introspection,1084237,0.014363
libgnomekbd,1078684,0.014289
libgee,1075071,0.014241
realmd,1071074,0.014188
xorg-x11-fonts-ISO8859-1-100dpi,1070851,0.014185
flatpak-libs,1064526,0.014101
libarchive,1063240,0.014084
libvirt-daemon-driver-network,1053874,0.013960
bash-completion,1053043,0.013949
librevenge,1052901,0.013947
bcache-tools,1037727,0.013746
openldap,1035939,0.013723
sssd-ipa,1035146,0.013712
swtpm-tools,1029961,0.013644
pulseaudio-utils,1029832,0.013642
dos2unix,1028693,0.013627
libnfsidmap,1018491,0.013492
libsolv,1013266,0.013422
pipewire-jack-audio-connection-kit-libs,1005429,0.013319
gcr3-base,1004474,0.013306
libstemmer,1004300,0.013304
libmodulemd,1004112,0.013301
m17n-lib,995132,0.013182
libtomcrypt,995053,0.013181
ibus-libs,985290,0.013052
qgnomeplatform-qt5,980767,0.012992
libgtop2,976942,0.012941
python3-urllib3,974607,0.012910
nettle,969166,0.012838
flex,968909,0.012835
freetype,966335,0.012801
sed,965343,0.012788
libcdr,963039,0.012757
zram-generator,962217,0.012746
elfutils-libs,961637,0.012739
libthai,958342,0.012695
cracklib,957843,0.012688
libfprint,957748,0.012687
libnice,957592,0.012685
nss-softokn-freebl,952958,0.012624
duktape,951504,0.012604
qt5-qtgraphicaleffects,950835,0.012595
srt-libs,946226,0.012534
cups-libs,946022,0.012532
qemu-virtiofsd,943829,0.012503
libdav1d,942335,0.012483
qemu-device-display-vhost-user-gpu,937405,0.012418
python3-pyyaml,932150,0.012348
libglusterfs0,928664,0.012302
python3-gobject-base-noarch,928244,0.012296
python3-dateutil,927214,0.012283
ibus-anthy-python,927128,0.012281
libvirt-daemon-driver-nwfilter,917459,0.012153
curl,906688,0.012011
libplacebo,906091,0.012003
vamp-plugin-sdk,903084,0.011963
libnumbertext,897989,0.011895
libsepol,895635,0.011864
lua,892493,0.011823
libavutil-free,891116,0.011804
libsecret,889968,0.011789
python3-pycparser,888298,0.011767
libxslt,886575,0.011744
rpm-libs,885732,0.011733
osinfo-db-tools,885423,0.011729
python-systemd-doc,881444,0.011676
python-setuptools-wheel,880927,0.011669
python3-libreport,880287,0.011661
libtheora,875174,0.011593
libwpd,873902,0.011576
gc,872928,0.011563
libtiff,871049,0.011539
pcre2,863002,0.011432
chrony,858296,0.011370
raptor2,855905,0.011338
squashfs-tools,852592,0.011294
dosfstools,852207,0.011289
oniguruma,850549,0.011267
libvirt-daemon-driver-nodedev,850515,0.011267
libvirt-daemon-driver-interface,850065,0.011261
libvirt-daemon-driver-secret,849851,0.011258
libodfgen,848198,0.011236
enchant2,844246,0.011183
dconf,841138,0.011142
dbus-tools,839580,0.011122
rsync,836146,0.011076
dnsmasq,835940,0.011073
qgnomeplatform-qt6,834740,0.011058
upower,831674,0.011017
ethtool,829223,0.010984
libao,827415,0.010961
libmtp,822205,0.010891
less,819531,0.010856
vte291,819377,0.010854
gpgme,817898,0.010834
libzstd,815830,0.010807
deltarpm,815780,0.010806
geoclue2,815356,0.010801
volume_key-libs,813547,0.010777
xmlsec1,810774,0.010740
highway,809906,0.010729
xdg-desktop-portal-gnome,809773,0.010727
boost-locale,808465,0.010709
avahi-tools,806632,0.010685
python3-libselinux,806554,0.010684
efivar-libs,806426,0.010682
glx-utils,803990,0.010650
webrtc-audio-processing,802926,0.010636
libppd,796017,0.010545
gettext-runtime,795171,0.010533
wireplumber,794178,0.010520
glusterfs-fuse,792864,0.010503
gnome-desktop4,790199,0.010468
jemalloc,789039,0.010452
e2fsprogs-libs,782559,0.010366
python3-dbus,779799,0.010330
libreoffice-pdfimport,776280,0.010283
xorg-x11-drv-ati,771844,0.010224
cryptsetup,769147,0.010189
antiword,768856,0.010185
pcre,764868,0.010132
xvidcore,763279,0.010111
flac-libs,760471,0.010074
nspr,759808,0.010065
gnupg2-smime,756017,0.010015
gnome-menus,753805,0.009985
NetworkManager-openvpn-gnome,752855,0.009973
bluez-obexd,751840,0.009959
python3-mako,751194,0.009951
fuse,749559,0.009929
unzip,745787,0.009879
libadwaita-qt6,740308,0.009807
gmp,739335,0.009794
python3-pycurl,738336,0.009781
setup,737479,0.009769
pixman,736375,0.009755
gnome-weather,735518,0.009743
gnome-abrt,733049,0.009710
lsof,731078,0.009684
acl,722543,0.009571
libusal,722122,0.009566
systemd-resolved,721185,0.009553
sssd-ad,718618,0.009519
libwsman1,716115,0.009486
xdg-desktop-portal-gtk,714942,0.009471
teamd,709219,0.009395
libsndfile,707488,0.009372
attr,707309,0.009370
ntfs-3g,707157,0.009367
readline,706957,0.009365
plocate,703781,0.009323
libpinyin,700704,0.009282
libvisio,694947,0.009206
redhat-menus,688500,0.009120
python3-gobject-base,686423,0.009093
m4,685590,0.009082
python3-unbound,684622,0.009069
fribidi,684568,0.009068
liblangtag,678726,0.008991
mesa-libGL,677273,0.008972
poppler-glib,675836,0.008953
p11-kit-trust,672975,0.008915
fdk-aac-free,671840,0.008900
bolt,671499,0.008895
virglrenderer,670946,0.008888
usbutils,670190,0.008878
libadwaita-qt5,669752,0.008872
plymouth-core-libs,669196,0.008865
libglvnd-gles,667410,0.008841
pcre2-utf16,662432,0.008775
lvm2-dbusd,660121,0.008744
libidn2,659073,0.008731
desktop-file-utils,654195,0.008666
cups-browsed,653841,0.008661
libcdio-paranoia,650417,0.008616
jq,649453,0.008603
device-mapper,644888,0.008543
speexdsp,644529,0.008538
netpbm,644150,0.008533
json-glib,642028,0.008505
libexttextcat,641298,0.008495
perl-IO-Socket-SSL,640133,0.008480
keyutils,636718,0.008434
libplist,634486,0.008405
libblkio,633192,0.008388
python3-pexpect,631656,0.008367
satyr,631338,0.008363
dbus-broker,630364,0.008350
avahi-libs,630310,0.008350
mod_http2,629823,0.008343
libatasmart,629399,0.008337
ibus-m17n,627527,0.008313
libreoffice-x11,627353,0.008310
PackageKit-glib,626368,0.008297
distribution-gpg-keys,625734,0.008289
cyrus-sasl,624691,0.008275
pam-libs,622895,0.008251
libunwind,620276,0.008217
google-noto-sans-arabic-vf-fonts,620084,0.008214
perl-B,620062,0.008214
gcr,619176,0.008202
totem-pl-parser,616384,0.008165
uchardet,614967,0.008146
mtools,614774,0.008144
NetworkManager-openconnect-gnome,614649,0.008142
NetworkManager-vpnc-gnome,614598,0.008141
yajl,613488,0.008127
NetworkManager-pptp-gnome,613290,0.008124
libcurl-minimal,611966,0.008107
libxkbcommon,611882,0.008105
abrt-addon-kerneloops,610243,0.008084
passwd,609815,0.008078
passwdqc-utils,609345,0.008072
libbs2b,607473,0.008047
sord,604910,0.008013
woff2,604872,0.008013
plymouth-graphics-libs,603251,0.007991
trousers-lib,601395,0.007966
libcanberra-gtk3,601234,0.007964
libwacom-data,600512,0.007955
libzhuyin,598564,0.007929
